character,hint
bulbasaur,The name of this grass/poison type pokemon begins with a B
ivysaur,The name of this grass/poison type pokemon begins with a I
venusaur,The name of this grass/poison type pokemon begins with a V
charmander,The name of this fire type pokemon begins with a C
charmeleon,The name of this fire type pokemon begins with a C
charizard,The name of this fire/flying type pokemon begins with a C
squirtle,The name of this water type pokemon begins with a S
wartortle,The name of this water type pokemon begins with a W
blastoise,The name of this water type pokemon begins with a B
caterpie,The name of this bug type pokemon begins with a C
metapod,The name of this bug type pokemon begins with a M
butterfree,The name of this bug/flying type pokemon begins with a B
weedle,The name of this bug/poision type pokemon begins with a W
kakuna,The name of this bug/poison type pokemon begins with a K
beedrill,The name of this bug/poison type pokemon begins with a B
pidgey,The name of this normal/flying type pokemon begins with a P
pidgeotto,The name of this normal/flying type pokemon begins with a P
pidgeot,The name of this normal/flying type pokemon begins with a P
rattata,The name of this normal type pokemon begins with an R
raticate,The name of this normal type pokemon begins with an R
spearow,The name of this normal/flying type pokemon begins with a S
fearow,The name of this normal/flying type pokemon begins with a F
ekans,The name of this poison type pokemon begins with an E
arbok,The name of this poison type pokemon begins with an A
pikachu,The name of this electric type pokemon begins with a P
raichu,The name of this electric type pokemon begins with a R
sandshrew,The name of this ground type pokemon begins with a S
sandslash,The name of this ground type pokemon begins with a S
nidorina,The name of this poison type pokemon begins with a N
nidoqueen,The name of this poison/ground type pokemon begins with a N
nidoran,The name of this poison type pokemon begins with a N
nidorino,The name of this poison type pokemon begins with a N
nidoking,The name of this poison/ground type pokemon begins with a N
clefairy,The name of this fairy type pokemon begins with a C
clefable,The name of this fairy type pokemon begins with a C
vulpix,The name of this fire type pokemon begins with a V
ninetales,The name of this fire type pokemon begins with a N
jigglypuff,The name of this normal/fairy type pokemon begins with a J
wigglytuff,The name of this normal/fairy type pokemon begins with a W
zubat,The name of this poison/flying type pokemon begins with a Z
golbat,The name of this poison/flying type pokemon begins with a G
oddish,The name of this grass/poison type pokemon begins with a O
gloom,The name of this grass/poison type pokemon begins with a G
vileplume,The name of this grass/poison type pokemon begins with a V
paras,The name of this bug/grass type pokemon begins with a P
parasect,The name of this bug/grass type pokemon begins with a P
venonat,The name of this bug/poison type pokemon begins with a V
venomoth,The name of this bug/poison type pokemon begins with a V
diglett,The name of this ground type pokemon begins with a D
dugtrio,The name of this ground type pokemon begins with a D
meowth,The name of this normal type pokemon begins with a M
persian,The name of this normal type pokemon begins with a P
psyduck,The name of this water type pokemon begins with a P
golduck,The name of this water type pokemon begins with a G
mankey,The name of this fighting type pokemon begins with a M
primeape,The name of this fighting type pokemon begins with a P
growlithe,The name of this fire type pokemon begins with a G
arcanine,The name of this fire type pokemon begins with an A
poliwag,The name of this water type pokemon begins with a P
poliwhirl,The name of this water type pokemon begins with a P
poliwrath,The name of this water/fighting type pokemon begins with a P
abra,The name of this psychic type pokemon begins with an A
kadabra,The name of this psychic type pokemon begins with a K
alakazam,The name of this psychic type pokemon begins with an A
machop,The name of this fighting type pokemon begins with a M
machoke,The name of this fighting type pokemon begins with a M
machamp,The name of this fighting type pokemon begins with a M
bellsprout,The name of this grass/poison type pokemon begins with a B
weepinbell,The name of this grass/poison type pokemon begins with a W
victreebel,The name of this grass/poison type pokemon begins with a V
tentacool,The name of this water/poison type pokemon begins with a T
tentacruel,The name of this water/poison type pokemon begins with a T
geodude,The name of this rock/ground type pokemon begins wtih a G
graveler,The name of this rock/ground type pokemon begins wtih a G
golem,The name of this rock/ground type pokemon begins wtih a G
ponyta,The name of this fire type pokemon begins with a P
rapidash,The name of this fire type pokemon begins with a R
slowpoke,The name of this water/psychic pokemon begins with a S
slowbro,The name of this water/psychic pokemon begins with a S
magnemite,The name of thie electric/steel pokemon begins with a M
magneton,The name of thie electric/steel pokemon begins with a M
farfetch'd,The name of this normal/flying type pokemon begins with a F
doduo,The name of this normal/flying type pokemon begins with a D
dodrio,The name of this normal/flying type pokemon begins with a D
seel,The name of this water type pokemon begins with a S
dewgong,The name of this water/ice type pokemon begins with a D
grimer,The name of this poison type pokemon begins with a G
muk,The name of this poison type pokemon begins with a M
shellder,The name of this water type pokemon begins with a S
cloyster,The name of this water/ice type pokemon begins with a C
gastly,The name of this ghost/poison type pokemon begins with a G
haunter,The name of this ghost/poison type pokemon begins with a H
gengar,The name of this ghost/poison type pokemon begins with a G
onix,The name of this rock/ground type pokemon begins with an O
drowzee,The name of this psychic type pokemon begins with a D
hypno,The name of this psychic type pokemon begins with a H
krabby,The name of this water type pokemon begins with a K
kingler,The name of this water type pokemon begins with a K
